country,Year,Digital Adoption Index,DAI Business Sub-index,DAI People Sub-index,DAI Government Sub-index
Brunei Darussalam,2014,"0,574268222","0,661413074","0,449917465","0,611474097"
Brunei Darussalam,2016,"0,628916979","0,692653954","0,534272909","0,659824073"
Cambodia,2014,"0,358745366","0,345100611","0,299321443","0,431814075"
Cambodia,2016,"0,397918463","0,413881034","0,388893604","0,39098075"
Indonesia,2014,"0,390109211","0,335186183","0,295889616","0,539251864"
Indonesia,2016,"0,457153648","0,41932407","0,412844986","0,539291859"
Lao PDR,2014,"0,201024115","0,238063097","0,142765909","0,222243339"
Lao PDR,2016,"0,25973466","0,340057015","0,169943601","0,269203335"
Malaysia,2014,"0,654649317","0,517475247","0,592974961","0,853497803"
Malaysia,2016,"0,686192155","0,548832357","0,642836392","0,866907775"
Myanmar,2014,"0,171973079","0,224559337","0,108486578","0,182873338"
Myanmar,2016,"0,259412646","0,278450489","0,271647424","0,228140011"
Philippines,2014,"0,439225137","0,530207396","0,38014245","0,407325536"
Philippines,2016,"0,491592795","0,568994284","0,436338544","0,469445556"
Singapore,2014,"0,868270159","0,836006045","0,80476433","0,964040041"
Singapore,2016,"0,870592058","0,851721346","0,803051472","0,957003355"
Thailand,2014,"0,567223191","0,550882518","0,572325528","0,578461468"
Thailand,2016,"0,619724512","0,567324102","0,676794648","0,615054846"
Vietnam,2014,"0,467211872","0,506105542","0,408275217","0,487254828"
Vietnam,2016,"0,521303654","0,593714237","0,431228667","0,538968146"
